,Month,DayofMonth,CRSDepTime,Delayed,Visibility
403145,1,1,1500,1,10.0
403146,1,2,1500,0,10.0
403147,1,3,1500,1,3.0
403148,1,4,1500,0,7.0
403149,1,5,1500,0,10.0
403150,1,6,1500,0,10.0
403151,1,7,1500,0,10.0
403152,1,8,1500,0,10.0
403153,1,9,1500,0,10.0
403154,1,10,1500,0,10.0
403155,1,11,1500,0,8.0
403156,1,12,1500,0,10.0
403157,1,13,1500,0,7.0
403158,1,14,1500,0,3.0
403159,1,15,1500,1,4.0
403160,1,16,1500,0,5.0
403161,1,17,1500,0,7.0
403162,1,18,1500,0,8.0
403163,1,19,1500,0,10.0
403164,1,20,1500,1,10.0
403165,1,21,1500,0,10.0
403166,1,22,1500,0,7.0
403167,1,23,1500,0,5.0
403168,1,24,1500,0,9.0
403169,1,25,1500,0,10.0
403170,1,26,1500,1,1.0
403171,1,27,1500,0,10.0
403172,1,28,1500,0,10.0
403173,1,29,1500,0,3.0
403174,1,30,1500,0,5.0
403175,1,31,1500,1,6.0
403299,1,1,1400,0,10.0
403300,1,2,1400,0,10.0
403301,1,3,1400,1,3.0
403302,1,4,1400,0,7.0
403303,1,5,1400,0,10.0
403304,1,6,1400,0,10.0
403305,1,7,1400,0,10.0
403306,1,8,1400,0,10.0
403307,1,9,1400,0,10.0
403308,1,10,1400,0,10.0
403309,1,11,1400,0,8.0
403310,1,12,1400,0,10.0
403311,1,13,1400,0,6.0
403312,1,14,1400,0,3.0
403313,1,15,1400,0,4.0
403314,1,16,1400,0,5.0
403315,1,17,1400,0,6.0
403316,1,18,1400,0,8.0
403317,1,19,1400,0,10.0
403318,1,20,1400,0,10.0
403319,1,21,1400,0,10.0
403320,1,22,1400,0,9.0
403321,1,23,1400,0,6.0
403322,1,24,1400,0,10.0
403323,1,25,1400,0,10.0
403324,1,26,1400,0,1.0
403325,1,27,1400,0,10.0
403326,1,28,1400,0,10.0
403327,1,29,1400,0,4.0
403328,1,30,1400,0,5.0
403329,1,31,1400,0,6.0
403390,1,1,1300,0,10.0
403391,1,2,1300,0,10.0
403392,1,3,1300,0,3.0
403393,1,4,1300,0,6.0
403394,1,5,1300,0,10.0
403395,1,6,1300,1,10.0
403396,1,7,1300,0,10.0
403397,1,8,1300,0,10.0
403398,1,9,1300,0,10.0
403399,1,10,1300,0,10.0
403400,1,11,1300,0,9.0
403401,1,12,1300,0,5.0
403402,1,13,1300,0,5.0
403403,1,14,1300,1,3.0
403404,1,15,1300,0,2.0
403405,1,16,1300,0,2.0
403406,1,17,1300,0,6.0
403407,1,18,1300,0,9.0
403408,1,19,1300,0,9.0
403409,1,20,1300,0,10.0
403410,1,21,1300,0,10.0
403411,1,22,1300,1,9.0
403412,1,23,1300,0,8.0
403413,1,24,1300,0,10.0
403414,1,25,1300,0,10.0
403415,1,26,1300,0,2.0
403416,1,27,1300,0,10.0
403417,1,28,1300,0,10.0
403418,1,29,1300,0,6.0
403419,1,30,1300,0,3.0
403420,1,31,1300,0,6.0
403514,1,1,1200,1,10.0
403515,1,2,1200,0,10.0
403516,1,3,1200,0,3.0
403517,1,4,1200,0,5.0
403518,1,5,1200,0,10.0
403519,1,6,1200,0,10.0
403520,1,7,1200,0,10.0
403521,1,8,1200,0,10.0
403522,1,9,1200,0,10.0
403523,1,10,1200,0,10.0
403524,1,11,1200,0,9.0
403525,1,12,1200,0,5.0
403526,1,13,1200,0,3.0
403527,1,14,1200,0,1.0
403528,1,15,1200,0,2.0
403529,1,16,1200,1,3.0
403530,1,17,1200,0,5.0
403531,1,18,1200,0,9.0
403532,1,19,1200,0,10.0
403533,1,20,1200,0,10.0
403534,1,21,1200,1,10.0
403535,1,22,1200,0,8.0
403536,1,23,1200,0,7.0
403537,1,24,1200,0,10.0
403538,1,25,1200,0,10.0
403539,1,26,1200,0,3.0
403540,1,27,1200,0,10.0
403541,1,28,1200,0,10.0
403542,1,29,1200,0,6.0
403543,1,30,1200,0,2.0
403544,1,31,1200,0,7.0
403579,1,2,1100,0,10.0
403580,1,3,1100,1,3.0
403581,1,4,1100,0,4.0
403582,1,5,1100,1,10.0
403583,1,7,1100,0,10.0
403584,1,8,1100,0,10.0
403585,1,9,1100,0,10.0
403586,1,10,1100,0,10.0
403587,1,11,1100,0,9.0
403588,1,12,1100,0,5.0
403589,1,14,1100,1,1.0
403590,1,15,1100,0,2.0
403591,1,16,1100,1,2.0
403592,1,17,1100,0,7.0
403593,1,18,1100,0,10.0
403594,1,19,1100,0,10.0
403595,1,21,1100,0,10.0
403596,1,22,1100,0,7.0
403597,1,23,1100,0,6.0
403598,1,24,1100,0,10.0
403599,1,25,1100,0,10.0
403600,1,26,1100,1,5.0
403601,1,28,1100,0,10.0
403602,1,29,1100,0,8.0
403603,1,30,1100,0,2.0
403604,1,31,1100,0,8.0
403636,1,1,1000,0,10.0
403637,1,2,1000,0,10.0
403638,1,3,1000,1,3.0
403639,1,4,1000,0,9.0
403640,1,5,1000,0,10.0
403641,1,6,1000,0,10.0
403642,1,7,1000,0,10.0
403643,1,8,1000,0,10.0
403644,1,9,1000,0,10.0
403645,1,10,1000,0,10.0
403646,1,11,1000,0,9.0
403647,1,12,1000,0,4.0
403648,1,13,1000,0,2.0
403649,1,14,1000,0,1.0
403650,1,15,1000,0,2.0
403651,1,16,1000,0,1.0
403652,1,17,1000,0,8.0
403653,1,18,1000,0,9.0
403654,1,19,1000,0,10.0
403655,1,20,1000,0,10.0
403656,1,21,1000,0,10.0
403657,1,22,1000,0,6.0
403658,1,23,1000,0,6.0
403659,1,24,1000,0,10.0
403660,1,25,1000,0,10.0
403661,1,26,1000,0,1.0
403662,1,27,1000,0,10.0
403663,1,28,1000,0,10.0
403664,1,29,1000,1,8.0
403665,1,30,1000,0,3.0
403666,1,31,1000,0,8.0
403836,1,1,900,0,10.0
403837,1,2,900,0,10.0
403838,1,3,900,1,3.0
403839,1,4,900,0,5.0
403840,1,5,900,0,10.0
403841,1,6,900,0,10.0
403842,1,7,900,0,10.0
403843,1,8,900,0,10.0
403844,1,9,900,0,10.0
403845,1,10,900,0,10.0
403846,1,11,900,0,9.0
403847,1,12,900,0,4.0
403848,1,13,900,0,1.0
403849,1,14,900,1,1.0
403850,1,15,900,0,2.0
403851,1,16,900,0,1.0
403852,1,17,900,0,8.0
403853,1,18,900,0,8.0
403854,1,19,900,0,4.0
403855,1,20,900,0,10.0
403856,1,21,900,0,10.0
403857,1,22,900,1,4.0
403858,1,23,900,0,5.0
403859,1,24,900,0,10.0
403860,1,25,900,0,10.0
403861,1,26,900,0,1.0
403862,1,27,900,0,10.0
403863,1,28,900,0,10.0
403864,1,29,900,0,8.0
403865,1,30,900,0,3.0
403866,1,31,900,0,7.0
403928,1,1,800,1,10.0
403929,1,2,800,0,9.0
403930,1,3,800,1,3.0
403931,1,4,800,0,5.0
403932,1,5,800,0,10.0
403933,1,6,800,0,10.0
403934,1,8,800,0,10.0
403935,1,9,800,1,10.0
403936,1,10,800,0,10.0
403937,1,11,800,0,9.0
403938,1,12,800,0,4.0
403939,1,13,800,1,1.0
403940,1,15,800,0,2.0
403941,1,16,800,0,2.0
403942,1,17,800,0,8.0
403943,1,18,800,0,6.0
403944,1,19,800,0,5.0
403945,1,20,800,0,10.0
403946,1,22,800,0,4.0
403947,1,23,800,0,4.0
403948,1,24,800,0,8.0
403949,1,25,800,0,10.0
403950,1,26,800,0,2.0
403951,1,27,800,0,10.0
403952,1,29,800,0,10.0
403953,1,30,800,0,2.0
403954,1,31,800,0,6.0
404020,1,1,700,1,10.0
404021,1,2,700,0,9.0
404022,1,3,700,0,3.0
404023,1,4,700,0,5.0
404024,1,5,700,0,10.0
404025,1,6,700,0,10.0
404026,1,7,700,0,10.0
404027,1,8,700,0,10.0
404028,1,9,700,0,8.0
404029,1,10,700,0,9.0
404030,1,11,700,0,10.0
404031,1,12,700,1,4.0
404032,1,13,700,0,2.0
404033,1,14,700,0,1.0
404034,1,15,700,0,1.0
404035,1,16,700,0,2.0
404036,1,17,700,0,6.0
404037,1,18,700,0,5.0
404038,1,19,700,0,6.0
404039,1,20,700,0,9.0
404040,1,21,700,0,8.0
404041,1,22,700,0,3.0
404042,1,23,700,0,4.0
404043,1,24,700,0,7.0
404044,1,25,700,0,10.0
404045,1,26,700,0,10.0
404046,1,27,700,0,10.0
404047,1,28,700,0,10.0
404048,1,29,700,1,7.0
404049,1,30,700,0,2.0
404050,1,31,700,0,6.0
404082,1,1,600,0,10.0
404083,1,2,600,0,10.0
404084,1,3,600,0,5.0
404085,1,4,600,0,4.0
404086,1,5,600,0,10.0
404087,1,8,600,0,10.0
404088,1,9,600,0,10.0
404089,1,10,600,0,10.0
404090,1,11,600,0,10.0
404091,1,12,600,0,4.0
404092,1,15,600,0,3.0
404093,1,16,600,0,8.0
404094,1,17,600,0,8.0
404095,1,18,600,0,7.0
404096,1,19,600,0,6.0
404097,1,22,600,0,4.0
404098,1,23,600,0,6.0
404099,1,24,600,0,7.0
404100,1,25,600,0,10.0
404101,1,26,600,0,10.0
404102,1,29,600,0,4.0
404103,1,30,600,0,5.0
404104,1,31,600,0,7.0
404448,1,1,1844,0,10.0
404449,1,2,1844,1,9.0
404450,1,3,1844,1,5.0
404451,1,4,1844,0,7.0
404452,1,5,1844,1,10.0
404453,1,6,1844,0,10.0
404454,1,7,1844,0,10.0
404455,1,8,1844,0,10.0
404456,1,9,1844,0,10.0
404457,1,10,1844,0,10.0
404458,1,11,1844,0,8.0
404459,1,12,1844,0,6.0
404460,1,13,1844,1,6.0
404461,1,14,1844,0,2.0
404462,1,15,1844,0,7.0
404463,1,16,1844,0,10.0
404464,1,17,1844,0,7.0
404465,1,18,1844,0,8.0
404466,1,19,1844,0,10.0
404467,1,20,1844,0,10.0
404468,1,21,1844,0,9.0
404469,1,22,1844,0,7.0
404470,1,23,1844,0,3.0
404471,1,24,1844,0,10.0
404472,1,25,1844,1,10.0
404473,1,26,1844,1,1.0
404474,1,27,1844,0,10.0
404475,1,28,1844,1,4.0
404476,1,29,1844,0,3.0
404477,1,30,1844,0,7.0
404478,1,31,1844,0,6.0
404510,1,1,1845,0,10.0
404511,1,2,1845,1,9.0
404512,1,3,1845,1,5.0
404513,1,4,1845,0,7.0
404514,1,5,1845,0,10.0
404515,1,6,1845,0,10.0
404516,1,7,1845,0,10.0
404517,1,8,1845,0,10.0
404518,1,9,1845,1,10.0
404519,1,10,1845,0,10.0
404520,1,11,1845,0,8.0
404521,1,12,1845,0,6.0
404522,1,13,1845,0,6.0
404523,1,14,1845,1,2.0
404524,1,15,1845,1,7.0
404525,1,16,1845,0,10.0
404526,1,17,1845,0,7.0
404527,1,18,1845,0,8.0
404528,1,19,1845,1,10.0
404529,1,20,1845,0,10.0
